2019,2020,2021
conc_benchmark_qmean,conc_benchmark_qmean,conc_benchmark_qmean
NA,NA,NA
NA,NA,NA
2.390275132,2.690784061,2.802100529
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
10.77864146,9.964651611,10.9845028
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
3.736069906,3.224201605,2.393188406
0.010714286,0.011357887,0.011011905
0.117872024,0.117234402,0.089404762
NA,NA,NA
NA,NA,NA
0.168674699,0.161337658,0.151706827
NA,NA,NA
NA,NA,NA
0.139321465,0.144988683,0.140807018
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
0.029086435,0.025783939,0.013092369
0.157714023,0.135509016,0.064166667
0.160411352,0.153916171,0.11515873
NA,NA,NA
0.001523907,0.00131425,0.001055702
0.004084622,0.003596394,0.001363095
0.014831276,0.014908132,0.008377451
NA,NA,NA
1.301930147,1.065366772,0.37745098
NA,NA,NA
NA,NA,NA
0.032114548,0.034699157,0.044642857
NA,NA,NA
0.012964565,0.011688275,0.006993056
1.323908559,1.733918822,1.648275862
NA,NA,NA
NA,NA,NA
NA,NA,NA
,,
20.38013841,19.49525684,18.85329902
