"epa_id","Project","analyte_group","analyte_name_deq","poc","conc_benchmark_qmean_2019","conc_benchmark_qmean_2020","conc_benchmark_qmean_2021","n_obs_2019","n_obs_2020","n_obs_2021","nobs_q1_2019","nobs_q1_2020","nobs_q1_2021","nobs_q2_2019","nobs_q2_2020","nobs_q2_2021","nobs_q3_2019","nobs_q3_2020","nobs_q3_2021","nobs_q4_2019","nobs_q4_2020","nobs_q4_2021"
410292129,"Medford Welch and Jackson","Carbonyls","2-Butanone (MEK)",7,NA,NA,NA,42,56,53,5,13,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","2,5-Dimethylbenzaldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Acetaldehyde",7,4.51578439153439,4.98744953194953,5.19368386243386,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Acetone",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Benzaldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Butyraldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Crotonaldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Formaldehyde",7,15.4801785714286,16.4067582417582,16.3121428571429,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Hexaldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Isovaleraldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","m-Tolualdehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","o-Tolualdehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","p-Tolualdehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Propionaldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Carbonyls","Valeraldehyde",7,NA,NA,NA,42,57,53,5,14,15,8,15,12,15,15,14,14,13,12
410292129,"Medford Welch and Jackson","Metals","Antimony, Total",7,NA,NA,NA,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Arsenic, Total",7,1.89191666666667,2.55283333333333,1.75616666666667,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Beryllium, Total",7,0.0112109375,0.0114791666666667,0.0122544642857143,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Cadmium, Total",7,0.116840678418803,0.0983194444444445,0.137452380952381,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Chromium, Total",7,NA,NA,NA,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Cobalt, Total",7,0.00108482852564103,0.001198,0.0012703869047619,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Hexavalent Chromium [Cr(VI)]",7,0.128861505681818,0.21905505952381,0.213747329059829,50,58,51,12,15,15,14,15,14,13,14,13,11,14,9
410292129,"Medford Welch and Jackson","Metals","Lead, Total",7,0.0107537459935897,0.0104422063492064,0.00817610317460317,59,59,57,13,15,14,15,15,14,16,15,14,15,14,15
410292129,"Medford Welch and Jackson","Metals","Manganese, Total",7,0.071399448005698,0.0837796296296296,0.0970462301587302,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Nickel, Total",7,0.115833233173077,0.112570833333333,0.115390625,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","Metals","Selenium, Total",7,NA,NA,NA,59,60,57,13,15,14,15,15,14,16,15,14,15,15,15
410292129,"Medford Welch and Jackson","PAHs","Acenaphthene",7,0.74746233974359,0.771235119047619,2.48538049450549,46,57,57,8,14,15,10,14,14,15,14,13,13,15,15
410292129,"Medford Welch and Jackson","PAHs","Acenaphthylene",7,NA,NA,NA,46,57,57,8,14,15,10,14,14,15,14,13,13,15,15
410292129,"Medford Welch and Jackson","PAHs","Anthracene",7,NA,NA,NA,46,57,57,8,14,15,10,14,14,15,14,13,13,15,15
410292129,"Medford Welch and Jackson","PAHs","Benzo(a)anthracene",7,NA,NA,NA,46,57,57,8,14,15,10,14,14,15,14,13,13,15,15
