"year","epa_id","analyte_group","analyte_name_deq","poc","site_name","start_date","end_date","parameter_epa","cas_num","n_submitted","n_void","n_obs","n_below_mdl","min_val","mean_val","max_val","sd_val","q10","q50","q90","q95","unts","mol_wght_g_mol","pah_tox_eq_factor","oregon_abc","hr24_rbc_cao","mdl_min","mdl_mean","mdl_max","quarter_mean_val","nobs_q1","nobs_q2","nobs_q3","nobs_q4","km_mean","mean_ug_m3","max_ug_m3"
"2017","410512010","Carbonyls","2-Butanone (MEK)","7","Portland Humboldt School",2017-03-26,2017-12-27,"Methyl ethyl ketone","78-93-3",42,7,35,1,0.05,0.2778,0.657,0.162176519661176,0.1484,0.221,0.6078,0.6352,"Parts per billion",NA,NA,NA,"5000",0.05,0.0630952380952381,0.1,0.270186813186813,0,13,15,7,0.280457142857143,NA,NA
"2017","410512010","Carbonyls","2-Butanone (MEK)","9","Portland Humboldt School",2017-04-01,2017-09-28,"Methyl ethyl ketone","78-93-3",18,3,15,0,0.144,0.342466666666667,0.805,0.202546949289953,0.1766,0.222,0.6358,0.7028,"Parts per billion",NA,NA,NA,"5000",0.05,0.0666666666666667,0.1,0.337669642857143,NA,7,8,NA,0.342466666666667,NA,NA
"2017","410512010","Carbonyls","Acetaldehyde","7","Portland Humboldt School",2017-03-26,2017-12-27,"Acetaldehyde","75-07-0",40,2,38,0,0.682,1.58278947368421,4.53,0.980972963175233,0.7825,1.26,2.719,4.241,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",0.026,1050.02718,21000,1.4016431547619,1,15,14,8,1.58278947368421,1.58278947368421,4.53
"2017","410512010","Carbonyls","Acetaldehyde","9","Portland Humboldt School",2017-04-01,2017-09-28,"Acetaldehyde","75-07-0",15,2,13,0,0.659,1.898,4.8,1.40752898134757,0.742,1.31,4.374,4.752,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",0.0274,1400.0271,21000,1.85759523809524,NA,6,7,NA,1.898,1.898,4.8
"2017","410512010","Carbonyls","Formaldehyde","7","Portland Humboldt School",2017-03-26,2017-12-27,"Formaldehyde","50-00-0",40,2,38,0,0.817,2.60063157894737,7.45,1.60828094259901,0.9933,2.31,4.387,6.6945,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",0.0693,2795.0724975,55900,2.37686994047619,1,15,14,8,2.60063157894737,2.60063157894737,7.45
"2017","410512010","Carbonyls","Formaldehyde","9","Portland Humboldt School",2017-04-01,2017-09-28,"Formaldehyde","50-00-0",15,2,13,0,0.842,3.359,8.01,2.17354809777316,1.008,2.75,6.58,7.41,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",0.073,3726.73895333333,55900,3.27260714285714,NA,6,7,NA,3.359,3.359,8.01
"2017","410512010","Metals","Arsenic, Total","7","Portland Humboldt School",2017-03-26,2017-12-27,"Arsenic PM10 LC","7440-38-2",42,1,41,0,0.08,0.733512195121951,3.42,0.78906353109085,0.133,0.428,1.48,2.62,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",0.024,0.0318333333333333,0.153,0.831058333333333,1,15,15,10,0.733512195121951,0.000733512195121951,0.00342
"2017","410512010","Metals","Arsenic, Total","9","Portland Humboldt School",2017-04-01,2017-12-21,"Arsenic PM10 LC","7440-38-2",22,0,22,0,0.083,0.574363636363636,1.83,0.42278459509875,0.1811,0.4525,0.9962,1.23745,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",0.024,0.0294545454545455,0.044,0.596180555555556,NA,8,8,6,0.574363636363636,0.000574363636363636,0.00183
"2017","410512010","Metals","Beryllium, Total","7","Portland Humboldt School",2017-03-26,2017-12-27,"Beryllium PM10 LC","7440-41-7",42,1,41,34,0.002,0.00334146341463415,0.01,0.00191519915540866,0.002,0.002,0.005,0.007,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",0.004,0.00569047619047619,0.025,0.003125,1,15,15,10,0.00439024390243902,3.34146341463415e-06,1e-05
"2017","410512010","Metals","Beryllium, Total","9","Portland Humboldt School",2017-04-01,2017-12-21,"Beryllium PM10 LC","7440-41-7",22,0,22,15,0.002,0.00431818181818182,0.01,0.00266612548621124,0.002,0.00425,0.0089,0.00995,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",0.004,0.00536363636363636,0.009,0.00433333333333333,NA,8,8,6,0.005,4.31818181818182e-06,1e-05
