"year","epa_id","analyte_group","analyte_name_deq","poc","wildfire_impact","site_name","start_date","end_date","parameter_epa","cas_num","n_submitted","n_void","n_obs","n_below_mdl","min_val","mean_val","max_val","sd_val","q10","q50","q90","q95","unts","mol_wght_g_mol","pah_tox_eq_factor","oregon_abc","hr24_rbc_cao","mean_pm25","mdl_min","mdl_mean","mdl_max","quarter_mean_val","nobs_q1","nobs_q2","nobs_q3","nobs_q4","km_mean","mean_ug_m3","max_ug_m3"
"2017","410512010","Carbonyls","2-Butanone (MEK)","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Methyl ethyl ketone","78-93-3",40,7,33,1,0.05,0.256242424242424,0.657,0.139850373234895,0.1472,0.218,0.4146,0.5972,"Parts per billion",NA,NA,NA,"5000",6.83194444444444,0.05,0.06375,0.1,0.25585347985348,0,13,13,7,0.259060606060606,NA,NA
"2017","410512010","Carbonyls","2-Butanone (MEK)","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Methyl ethyl ketone","78-93-3",2,0,2,0,0.633,0.6335,0.634,0.000707106781186548,0.6331,0.6335,0.6339,0.63395,"Parts per billion",NA,NA,NA,"5000",38.1166666666667,0.05,0.05,0.05,0.6335,NA,NA,2,NA,0.6335,NA,NA
"2017","410512010","Carbonyls","2-Butanone (MEK)","9","none","Portland Humboldt School",2017-04-01,2017-09-28,"Methyl ethyl ketone","78-93-3",17,3,14,0,0.144,0.319857142857143,0.805,0.189534594829975,0.1732,0.2165,0.5521,0.6724,"Parts per billion",NA,NA,NA,"5000",5.47762923351158,0.05,0.0676470588235294,0.1,0.319857142857143,NA,7,7,NA,0.319857142857143,NA,NA
"2017","410512010","Carbonyls","2-Butanone (MEK)","9","wildfire","Portland Humboldt School",2017-09-16,2017-09-16,"Methyl ethyl ketone","78-93-3",1,0,1,0,0.659,0.659,0.659,NA,0.659,0.659,0.659,0.659,"Parts per billion",NA,NA,NA,"5000",44.2291666666667,0.05,0.05,0.05,0.659,NA,NA,1,NA,0.659,NA,NA
"2017","410512010","Carbonyls","Acetaldehyde","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Acetaldehyde","75-07-0",38,2,36,0,0.682,1.42766666666667,4.36,0.738689844057901,0.7775,1.23,2.2,2.7175,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",6.89901315789474,0.026,1105.29021578947,21000,1.30121458333333,1,15,12,8,1.42766666666667,1.42766666666667,4.36
"2017","410512010","Carbonyls","Acetaldehyde","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Acetaldehyde","75-07-0",2,0,2,0,4.22,4.375,4.53,0.21920310216783,4.251,4.375,4.499,4.5145,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",38.1166666666667,0.0294,0.0295,0.0296,4.375,NA,NA,2,NA,4.375,4.375,4.53
"2017","410512010","Carbonyls","Acetaldehyde","9","none","Portland Humboldt School",2017-04-01,2017-09-28,"Acetaldehyde","75-07-0",14,2,12,0,0.659,1.65616666666667,4.72,1.15405410565878,0.7085,1.275,2.89,3.7685,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",5.81190476190476,0.0274,1500.02699285714,21000,1.65616666666667,NA,6,6,NA,1.65616666666667,1.65616666666667,4.72
"2017","410512010","Carbonyls","Acetaldehyde","9","wildfire","Portland Humboldt School",2017-09-16,2017-09-16,"Acetaldehyde","75-07-0",1,0,1,0,4.8,4.8,4.8,NA,4.8,4.8,4.8,4.8,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",44.2291666666667,0.0286,0.0286,0.0286,4.8,NA,NA,1,NA,4.8,4.8,4.8
"2017","410512010","Carbonyls","Formaldehyde","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Formaldehyde","50-00-0",38,2,36,0,0.817,2.37261111111111,7.45,1.31082428326122,0.9755,2.145,3.64,4.3575,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",6.89901315789474,0.0693,2942.17744210526,55900,2.25181041666667,1,15,12,8,2.37261111111111,2.37261111111111,7.45
"2017","410512010","Carbonyls","Formaldehyde","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Formaldehyde","50-00-0",2,0,2,0,6.69,6.705,6.72,0.021213203435596,6.693,6.705,6.717,6.7185,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",38.1166666666667,0.0783,0.07855,0.0788,6.705,NA,NA,2,NA,6.705,6.705,6.72
"2017","410512010","Carbonyls","Formaldehyde","9","none","Portland Humboldt School",2017-04-01,2017-09-28,"Formaldehyde","50-00-0",14,2,12,0,0.842,3.05475,8.01,1.95984967535778,0.9465,2.645,4.755,6.2775,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",5.81190476190476,0.073,3992.92914285714,55900,3.05475,NA,6,6,NA,3.05475,3.05475,8.01
"2017","410512010","Carbonyls","Formaldehyde","9","wildfire","Portland Humboldt School",2017-09-16,2017-09-16,"Formaldehyde","50-00-0",1,0,1,0,7.01,7.01,7.01,NA,7.01,7.01,7.01,7.01,"Micrograms/cubic meter (25 C)",NA,NA,"0.2","49",44.2291666666667,0.0763,0.0763,0.0763,7.01,NA,NA,1,NA,7.01,7.01,7.01
"2017","410512010","Metals","Arsenic, Total","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Arsenic PM10 LC","7440-38-2",40,1,39,0,0.08,0.734128205128205,3.42,0.803282449489107,0.132,0.428,1.566,2.673,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",7.16313405797101,0.024,0.032225,0.153,0.817662179487179,1,15,13,10,0.734128205128205,0.000734128205128205,0.00342
"2017","410512010","Metals","Arsenic, Total","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Arsenic PM10 LC","7440-38-2",2,0,2,0,0.283,0.7215,1.16,0.620132647100602,0.3707,0.7215,1.0723,1.11615,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",38.1166666666667,0.024,0.024,0.024,0.7215,NA,NA,2,NA,0.7215,0.0007215,0.00116
"2017","410512010","Metals","Arsenic, Total","9","none","Portland Humboldt School",2017-04-01,2017-12-21,"Arsenic PM10 LC","7440-38-2",20,0,20,0,0.083,0.54915,1.83,0.413910653338819,0.1735,0.4525,0.9738,1.04055,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",7.08272644927536,0.024,0.03,0.044,0.558,NA,8,6,6,0.54915,0.00054915,0.00183
"2017","410512010","Metals","Arsenic, Total","9","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Arsenic PM10 LC","7440-38-2",2,0,2,0,0.403,0.8265,1.25,0.598919443665006,0.4877,0.8265,1.1653,1.20765,"Nanograms/cubic meter (LC)",NA,NA,"2e-04","0.2",38.1166666666667,0.024,0.024,0.024,0.8265,NA,NA,2,NA,0.8265,0.0008265,0.00125
"2017","410512010","Metals","Beryllium, Total","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Beryllium PM10 LC","7440-41-7",40,1,39,34,0.002,0.0031025641025641,0.008,0.00156516136371524,0.002,0.002,0.0045,0.0052,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",7.16313405797101,0.004,0.005775,0.025,0.00296346153846154,1,15,13,10,0.00420512820512821,3.1025641025641e-06,8e-06
"2017","410512010","Metals","Beryllium, Total","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Beryllium PM10 LC","7440-41-7",2,0,2,0,0.006,0.008,0.01,0.00282842712474619,0.0064,0.008,0.0096,0.0098,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",38.1166666666667,0.004,0.004,0.004,0.008,NA,NA,2,NA,0.008,8e-06,1e-05
"2017","410512010","Metals","Beryllium, Total","9","none","Portland Humboldt School",2017-04-01,2017-12-21,"Beryllium PM10 LC","7440-41-7",20,0,20,15,0.002,0.0038,0.01,0.00217279834121323,0.002,0.004,0.0053,0.0081,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",7.08272644927536,0.004,0.0055,0.009,0.00397222222222222,NA,8,6,6,0.00455,3.8e-06,1e-05
"2017","410512010","Metals","Beryllium, Total","9","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Beryllium PM10 LC","7440-41-7",2,0,2,0,0.009,0.0095,0.01,0.000707106781186548,0.0091,0.0095,0.0099,0.00995,"Nanograms/cubic meter (LC)",NA,NA,"4e-04","0.02",38.1166666666667,0.004,0.004,0.004,0.0095,NA,NA,2,NA,0.0095,9.5e-06,1e-05
"2017","410512010","Metals","Cadmium, Total","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Cadmium PM10 LC","7440-43-9",40,1,39,23,0.017,0.0562307692307692,0.271,0.0570973137622638,0.017,0.037,0.134,0.1577,"Nanograms/cubic meter (LC)",NA,NA,"6e-04","0.03",7.16313405797101,0.034,0.052275,0.215,0.0559416666666667,1,15,13,10,0.0652828060613568,5.62307692307692e-05,0.000271
"2017","410512010","Metals","Cadmium, Total","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Cadmium PM10 LC","7440-43-9",2,0,2,0,0.035,0.0715,0.108,0.051618795026618,0.0423,0.0715,0.1007,0.10435,"Nanograms/cubic meter (LC)",NA,NA,"6e-04","0.03",38.1166666666667,0.034,0.034,0.034,0.0715,NA,NA,2,NA,0.0715,7.15e-05,0.000108
"2017","410512010","Metals","Cadmium, Total","9","none","Portland Humboldt School",2017-04-01,2017-12-21,"Cadmium PM10 LC","7440-43-9",20,0,20,12,0.017,0.051325,0.254,0.0535685185926448,0.017,0.0445,0.0959,0.1115,"Nanograms/cubic meter (LC)",NA,NA,"6e-04","0.03",7.08272644927536,0.034,0.0505,0.089,0.0537916666666667,NA,8,6,6,0.0574433333333333,5.1325e-05,0.000254
"2017","410512010","Metals","Cadmium, Total","9","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Cadmium PM10 LC","7440-43-9",2,0,2,0,0.058,0.0835,0.109,0.0360624458405139,0.0631,0.0835,0.1039,0.10645,"Nanograms/cubic meter (LC)",NA,NA,"6e-04","0.03",38.1166666666667,0.034,0.034,0.034,0.0835,NA,NA,2,NA,0.0835,8.35e-05,0.000109
"2017","410512010","Metals","Chromium, Total","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Chromium PM10 LC","7440-47-3",40,1,39,36,0.53,1.02307692307692,2.215,0.742509627249845,0.53,0.53,2.215,2.215,"Nanograms/cubic meter (LC)",NA,NA,NA,NA,7.16313405797101,1.06,2.0445,6.74,0.995326923076923,1,15,13,10,1.15688311688312,0.00102307692307692,0.002215
"2017","410512010","Metals","Chromium, Total","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Chromium PM10 LC","7440-47-3",2,0,2,1,0.53,0.9,1.27,0.523259018078045,0.604,0.9,1.196,1.233,"Nanograms/cubic meter (LC)",NA,NA,NA,NA,38.1166666666667,1.06,1.06,1.06,0.9,NA,NA,2,NA,1.27,9e-04,0.00127
"2017","410512010","Metals","Chromium, Total","9","none","Portland Humboldt School",2017-04-01,2017-12-21,"Chromium PM10 LC","7440-47-3",20,0,20,17,0.53,1.163,2.215,0.77831362911307,0.53,0.53,2.215,2.215,"Nanograms/cubic meter (LC)",NA,NA,NA,NA,7.08272644927536,1.06,2.071,4.43,1.22527777777778,NA,8,6,6,1.15383458646617,0.001163,0.002215
"2017","410512010","Metals","Chromium, Total","9","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Chromium PM10 LC","7440-47-3",2,0,2,1,0.53,1.235,1.94,0.997020561473032,0.671,1.235,1.799,1.8695,"Nanograms/cubic meter (LC)",NA,NA,NA,NA,38.1166666666667,1.06,1.06,1.06,1.235,NA,NA,2,NA,1.94,0.001235,0.00194
"2017","410512010","Metals","Cobalt, Total","7","none","Portland Humboldt School",2017-03-26,2017-12-27,"Cobalt PM10 LC","7440-48-4",40,1,39,8,0.012,0.0936153846153846,0.379,0.075963933749966,0.0258,0.081,0.1974,0.2368,"Nanograms/cubic meter (LC)",NA,NA,"0.1",NA,7.16313405797101,0.024,0.043475,0.153,0.0805794871794872,1,15,13,10,0.0921974117240784,9.36153846153846e-05,0.000379
"2017","410512010","Metals","Cobalt, Total","7","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Cobalt PM10 LC","7440-48-4",2,0,2,0,0.193,0.2035,0.214,0.0148492424049175,0.1951,0.2035,0.2119,0.21295,"Nanograms/cubic meter (LC)",NA,NA,"0.1",NA,38.1166666666667,0.024,0.024,0.024,0.2035,NA,NA,2,NA,0.2035,0.0002035,0.000214
"2017","410512010","Metals","Cobalt, Total","9","none","Portland Humboldt School",2017-04-01,2017-12-21,"Cobalt PM10 LC","7440-48-4",20,0,20,5,0.024,0.101875,0.362,0.0910384353475295,0.033,0.0685,0.2185,0.2898,"Nanograms/cubic meter (LC)",NA,NA,"0.1",NA,7.08272644927536,0.024,0.0435,0.089,0.105916666666667,NA,8,6,6,0.0976125,0.000101875,0.000362
"2017","410512010","Metals","Cobalt, Total","9","wildfire","Portland Humboldt School",2017-08-29,2017-09-16,"Cobalt PM10 LC","7440-48-4",2,0,2,0,0.241,0.2625,0.284,0.0304055915910215,0.2453,0.2625,0.2797,0.28185,"Nanograms/cubic meter (LC)",NA,NA,"0.1",NA,38.1166666666667,0.024,0.024,0.024,0.2625,NA,NA,2,NA,0.2625,0.0002625,0.000284
