"year","epa_id","analyte_group","analyte_name_deq","poc","wildfire_impact","site_name","start_date","end_date","parameter_epa","cas_num","n_submitted","n_void","n_obs","n_below_mdl","min_val","mean_val","max_val","sd_val","q10","q50","q90","q95","unts","mol_wght_g_mol","pah_tox_eq_factor","oregon_abc","hr24_rbc_cao","mean_pm25","mdl_min","mdl_mean","mdl_max","quarter_mean_val","nobs_q1","nobs_q2","nobs_q3","nobs_q4","km_mean","mean_ug_m3","max_ug_m3"
"2019","410292129","Carbonyls","2-Butanone (MEK)","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"2-Butanone (MEK)","78-93-3",41,0,41,0,0.0882,0.636595121951219,2.74,0.621223002613079,0.159,0.385,1.37,1.46,"Micrograms/cubic meter (25 C)",NA,NA,NA,"5000",7.43279132791328,0.0193,0.0208268292682927,0.0234,0.644133928571429,5,8,14,14,0.63659512195122,0.636595121951219,2.74
"2019","410292129","Carbonyls","2-Butanone (MEK)","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"2-Butanone (MEK)","78-93-3",1,0,1,0,0.496,0.496,0.496,NA,0.496,0.496,0.496,0.496,"Micrograms/cubic meter (25 C)",NA,NA,NA,"5000",101.904166666667,0.0208,0.0208,0.0208,0.496,NA,NA,1,NA,0.496,0.496,0.496
"2019","410292129","Carbonyls","2,5-Dimethylbenzaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"2,5-Dimethylbenzaldehyde","5779-94-2",41,0,41,36,0.00965,0.0133841463414634,0.043,0.00863128350119777,0.00995,0.01035,0.0226,0.039,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.0128660714285714,5,8,14,14,0.0241292682926829,0.0133841463414634,0.043
"2019","410292129","Carbonyls","2,5-Dimethylbenzaldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"2,5-Dimethylbenzaldehyde","5779-94-2",1,0,1,0,0.13,0.13,0.13,NA,0.13,0.13,0.13,0.13,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.13,NA,NA,1,NA,0.13,0.13,0.13
"2019","410292129","Carbonyls","Acetaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Acetaldehyde","75-07-0",41,0,41,0,0.716,2.07843902439024,4.99,0.927844142320802,1.05,2.01,3.21,3.41,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",7.43279132791328,0.029,0.0312414634146341,0.0352,1.88842678571429,5,8,14,14,2.07843902439024,2.07843902439024,4.99
"2019","410292129","Carbonyls","Acetaldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Acetaldehyde","75-07-0",1,0,1,0,10.7,10.7,10.7,NA,10.7,10.7,10.7,10.7,"Micrograms/cubic meter (25 C)",NA,NA,"0.45","470",101.904166666667,0.0312,0.0312,0.0312,10.7,NA,NA,1,NA,10.7,10.7,10.7
"2019","410292129","Carbonyls","Acetone","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Acetone","67-64-1",41,0,41,0,0.747,3.57180487804878,10.4,2.47886679976468,1.36,2.76,6.07,9.66,"Micrograms/cubic meter (25 C)",NA,NA,NA,"62000",7.43279132791328,0.193,0.208268292682927,0.234,3.30304910714286,5,8,14,14,3.57180487804878,3.57180487804878,10.4
"2019","410292129","Carbonyls","Acetone","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Acetone","67-64-1",1,0,1,0,3.84,3.84,3.84,NA,3.84,3.84,3.84,3.84,"Micrograms/cubic meter (25 C)",NA,NA,NA,"62000",101.904166666667,0.208,0.208,0.208,3.84,NA,NA,1,NA,3.84,3.84,3.84
"2019","410292129","Carbonyls","Benzaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Benzaldehyde","100-52-7",41,0,41,0,0.0561,0.169331707317073,0.585,0.0975284867077932,0.0758,0.154,0.238,0.293,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0386,0.0416487804878049,0.0469,0.158768303571429,5,8,14,14,0.169331707317073,0.169331707317073,0.585
"2019","410292129","Carbonyls","Benzaldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Benzaldehyde","100-52-7",1,0,1,0,0.721,0.721,0.721,NA,0.721,0.721,0.721,0.721,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0416,0.0416,0.0416,0.721,NA,NA,1,NA,0.721,0.721,0.721
"2019","410292129","Carbonyls","Butyraldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Butyraldehyde","123-72-8",41,0,41,15,0.01005,0.107685365853659,0.358,0.0974728668937556,0.0102,0.096,0.236,0.267,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0193,0.0208268292682927,0.0234,0.102303348214286,5,8,14,14,0.119680487804878,0.107685365853659,0.358
"2019","410292129","Carbonyls","Butyraldehyde","7","wildfire","Medford - Welch & Jackson",2019-07-26,2019-07-26,"Butyraldehyde","123-72-8",1,0,1,0,0.683,0.683,0.683,NA,0.683,0.683,0.683,0.683,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,101.904166666667,0.0208,0.0208,0.0208,0.683,NA,NA,1,NA,0.683,0.683,0.683
"2019","410292129","Carbonyls","Crotonaldehyde","7","none","Medford - Welch & Jackson",2019-02-20,2019-12-29,"Crotonaldehyde","123-73-9",41,0,41,29,0.0193,0.0323853658536585,0.123,0.0218440931486708,0.0197,0.02075,0.0552,0.0669,"Micrograms/cubic meter (25 C)",NA,NA,NA,NA,7.43279132791328,0.0386,0.0416487804878049,0.0469,0.0297511607142857,5,8,14,14,0.0473609756097561,0.0323853658536585,0.123
